Title,Severity,CVE ID,Tool,URL,Description,Fixed Version
"libexpat before 2.8.2 has an integer overflow in doProlog that is rela ...","high","CVE-2026-56407","trivy","N/A","libexpat before 2.8.2 has an integer overflow in doProlog that is related to storeEntityValue and entity textLen.","N/A"
"curl: curl: Insecure connection establishment due to TLS configuration mismatch","high","CVE-2026-8286","trivy","N/A","A vulnerability exists where a new transfer that uses STARTTLS to upgrade the
connection might reuse an existing live connection even though the TLS
configuration mismatches so it should not.","N/A"
"curl: libcurl: Information disclosure due to cookie leak when reusing connections with custom Host headers","high","CVE-2026-6276","trivy","N/A","Using libcurl, when a custom `Host:` header is first set for an HTTP request
and a second request is subsequently done using the same *easy handle* but
without the custom `Host:` header set, the second request would use stale
information and pass on cookies meant for the first host in the second
request. Leak them.","N/A"
"It was found that apt-key in apt, all versions, do not correctly valid ...","low","CVE-2011-3374","trivy","N/A","It was found that apt-key in apt, all versions, do not correctly validate gpg keys with the master keyring, leading to a potential man-in-the-middle attack.","N/A"
"bash: a heap-buffer-overflow in valid_parameter_transform","high","CVE-2022-3715","trivy","N/A","A flaw was found in the bash package, where a heap-buffer overflow can occur in valid parameter_transform. This issue may lead to memory problems.","N/A"
"[Privilege escalation possible to other user than root]","low","TEMP-0841856-B18BAF","trivy","N/A","N/A","N/A"
"[Integer Overflow or Wraparound in libblkid/src/partitions/dos.c]","high","CVE-2026-53615","trivy","N/A","Package updates are available for Amazon Linux 2 that fix the following vulnerabilities:
CVE-2026-53615:
	Integer Overflow or Wraparound in libblkid/src/partitions/dos.c
","N/A"
"util-linux: util-linux: heap use-after-free in libblkid nested partition probing","medium","CVE-2026-13595","trivy","N/A","A flaw was found in the libblkid library of util-linux. During nested partition probing, the BSD, Minix, Solaris x86, and UnixWare partition probers cache a raw pointer to a parent partition entry in a dynamically allocated array. When subsequent partition additions cause the array to be reallocated, this pointer becomes stale, leading to a heap use-after-free read. An attacker who can present a crafted block device image (for example, via USB insertion or a loop-mounted disk image) can trigger this flaw without user interaction, as libblkid is invoked automatically by udev/udisks as root on block-device hot-plug events. This could lead to limited information disclosure or denial of service.","N/A"
"util-linux: TOCTOU in the mount program when setting up loop devices","medium","CVE-2026-27456","trivy","N/A","util-linux is a random collection of Linux utilities. Prior to version 2.41.4, a TOCTOU (Time-of-Check-Time-of-Use) vulnerability has been identified in the SUID binary /usr/bin/mount from util-linux. The mount binary, when setting up loop devices, validates the source file path with user privileges via fork() + setuid() + realpath(), but subsequently re-canonicalizes and opens it with root privileges (euid=0) without verifying that the path has not been replaced between both operations. Neither O_NOFOLLOW, nor inode comparison, nor post-open fstat() are employed. This allows a local unprivileged user to replace the source file with a symlink pointing to any root-owned file or device during the race window, causing the SUID binary to open and mount it as root. Exploitation requires an /etc/fstab entry with user,loop options whose path points to a directory where the attacker has write permission, and that /usr/bin/mount has the SUID bit set (the default configuration on virtually all Linux distributions). The impact is unauthorized read access to root-protected files and block devices, including backup images, disk volumes, and any file containing a valid filesystem. This issue has been patched in version 2.41.4.","N/A"
"libexpat before 2.8.2 has an integer overflow in copyString.","high","CVE-2026-56408","trivy","N/A","libexpat before 2.8.2 has an integer overflow in copyString.","N/A"
"util-linux: util-linux: Access control bypass due to improper hostname canonicalization","medium","CVE-2026-3184","trivy","N/A","A flaw was found in util-linux. Improper hostname canonicalization in the `login(1)` utility, when invoked with the `-h` option, can modify the supplied remote hostname before setting `PAM_RHOST`. A remote attacker could exploit this by providing a specially crafted hostname, potentially bypassing host-based Pluggable Authentication Modules (PAM) access control rules that rely on fully qualified domain names. This could lead to unauthorized access.","N/A"
"util-linux: partial disclosure of arbitrary files in chfn and chsh when compiled with libreadline","low","CVE-2022-0563","trivy","N/A","A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4.","N/A"
